개방자치코드,인허가일자,영업상태코드,상세영업상태,소재지,도로명,사업장명,자본금
4211000,1992-02-13,01,영업중,강원특별자치도 동해시 효가동 224-1 ,강원특별자치도 동해시 동해대로 5025 (효가동),(주)동천여행사,43268000
4211000,2007-07-11,01,영업중,강원특별자치도 동해시 동회동 255-7 ,강원특별자치도 동해시 효자로 640 (동회동),(합)모아관광,15094000
4211000,2008-01-04,01,영업중,강원특별자치도 동해시 천곡동 1085-2 ,강원특별자치도 동해시 천곡로 12 (천곡동),서진여행사,1343000
4211000,2009-04-09,01,영업중,강원특별자치도 동해시 발한동 222-2 ,강원특별자치도 동해시 발한로 162 (발한동),(합)우리여행사,10552000
4211000,2009-06-23,01,영업중,강원특별자치도 동해시 천곡동 1053-24 매코미 ,"강원특별자치도 동해시 한섬로 27, 1층 (천곡동)",(합)현진여행사,29453000
4211000,2009-08-05,01,영업중,강원특별자치도 동해시 발한동 275-4 ,강원특별자치도 동해시 발한로 121-1 (발한동),뉴오대산 여행사,6080000
4211000,2012-02-01,01,영업중,강원특별자치도 동해시 천곡동 1077-1 삼성아파트상가 205호,"강원특별자치도 동해시 대학로 31, 2층 205호 (천곡동, 삼성아파트)",주식회사 올레투어,17824000
4211000,2015-07-03,01,영업중,강원특별자치도 동해시 천곡동 802-1 ,"강원특별자치도 동해시 천곡1길 3 (천곡동, 유공상가아파트 203호 A)",아라여행사,30346000
4211000,2019-01-11,01,영업중,강원특별자치도 동해시 천곡동 990-7 세화빌딩 ,"강원특별자치도 동해시 감추로 41, 세화빌딩 지하 1층 (천곡동)",여행크루즈,23752000
4211000,2015-02-26,02,휴업,강원특별자치도 동해시 평릉동 166-4 동해시공영버스터미널 108호,"강원특별자치도 동해시 동해대로 5443, 동해시공영버스터미널 108호 (평릉동)",(합자)정투어,2803000
4211000,2012-05-16,03,폐업,강원특별자치도 동해시 발한동 4-7 ,강원특별자치도 동해시 일출로 18-1 (발한동),묵호서비스,15001000
4211000,2014-08-14,03,폐업,강원특별자치도 동해시 발한동 26-4 ,강원특별자치도 동해시 일출로 10 (발한동),컬트래블러스,1882000
4211000,1992-07-13,03,폐업,강원특별자치도 동해시 평릉동 160-1 ,강원특별자치도 동해시 동해대로 5456 (평릉동),(주)삼일여행사,26901000
4211000,1995-11-24,03,폐업,강원특별자치도 동해시 천곡동 1076 현대코아빌딩 303호,"강원특별자치도 동해시 천곡로 68, 303호 (천곡동,현대코아빌딩)",(합)세진여행사,12482000
4211000,1999-01-18,03,폐업,강원특별자치도 동해시 부곡동 5-43 ,강원특별자치도 동해시 임항로 75 (부곡동),(합)삼일여행사,25783000
4211000,2004-04-27,03,폐업,강원특별자치도 동해시 발한동 240-15 9통2반 2층 ,강원특별자치도 동해시 발한로 191 (발한동),여행닷컴,1288000
4211000,2006-09-18,03,폐업,강원특별자치도 동해시 평릉동 160-1 가나빌딩 ,강원특별자치도 동해시 동해대로 5456 (평릉동),(주)지사협동해여행사,7067000
4211000,2009-11-02,03,폐업,강원특별자치도 동해시 구미동 588-1 ,강원특별자치도 동해시 구미택지1길 98 (구미동),해신마리나(주)투어,41420000
4211000,2011-11-16,03,폐업,강원특별자치도 동해시 송정동 265-1 ,강원특별자치도 동해시 대동로 265 (송정동),(주)원일유라투어,40514000
4211000,2007-07-11,04,등록취소,강원특별자치도 동해시 발한동 240-15 ,강원특별자치도 동해시 발한로 191 (발한동),울릉도매니아,33850000
4221000,2013-01-03,04,등록취소,강원특별자치도 태백시 문곡동 34-18 ,강원특별자치도 태백시 문곡길 4 (문곡동),(합자) 월드하나,25460000
4221000,2014-10-10,03,폐업,강원특별자치도 태백시 황지동 94-2 ,강원특별자치도 태백시 황지로 22 (황지동),(주)태백산맥,1275000
4221000,2023-10-31,01,영업중,강원특별자치도 태백시 황지동 94-2 ,강원특별자치도 태백시 황지로 22 (황지동),주식회사 태백화점,26303000
4221000,1998-03-12,04,직권말소,강원특별자치도 정선군 고한읍 고한리 273-12 ,강원특별자치도 정선군 고한읍 지장천로 856,(합)해피관광렌트카,16827000
4221000,2006-09-18,01,영업중,강원특별자치도 태백시 황지동 270-1 태백시외버스터미널 ,"강원특별자치도 태백시 광장로 6, 태백시외버스터미널 (황지동)",영암고속(주),27505000
4221000,2015-12-07,01,영업중,강원특별자치도 태백시 황지동 67-10 ,강원특별자치도 태백시 오리평길 2 (황지동),(합)명품관광여행사,12027000
4221000,2018-01-17,01,영업중,강원특별자치도 태백시 황지동 118-13 ,강원특별자치도 태백시 태백로 1232 (황지동),(합)태백산고속관광,20551000
4221000,2020-08-26,01,영업중,강원특별자치도 태백시 장성동 178-1 주식회사 단군 ,"강원특별자치도 태백시 장성1길 102-5, 주식회사 단군 (장성동)",주식회사 단군,15408000
4221000,2021-10-05,01,영업중,강원특별자치도 태백시 황지동 265-39 ,"강원특별자치도 태백시 연지로19번길 10-8, 1층 (황지동)",블랙산타 투어,27221000
4221000,2023-02-22,01,영업중,강원특별자치도 태백시 황지동 94-2 ,"강원특별자치도 태백시 황지로 22, 2층 (황지동)",(주)태백산양마을,33605000
4221000,1987-06-30,01,영업중,강원특별자치도 태백시 황지동 29-47 ,강원특별자치도 태백시 번영로 366 (황지동),(합명)스카이여행사,36107000
4221000,2001-01-26,04,허가취소,강원특별자치도 태백시 황지동 12-16 ,강원특별자치도 태백시 황지로 172-1  (황지동),자유항공관광(합자),7995000
4221000,2002-09-14,04,허가취소,강원특별자치도 태백시 황지동 269-36 ,,(합)강원여행사,44755000
4221000,1994-05-24,03,폐업,강원특별자치도 태백시 황지동 39-6 ,강원특별자치도 태백시 황지로 168-1 (황지동),태백세중여행사(합자),493000
4221000,1997-11-21,03,폐업,강원특별자치도 태백시 황지동 29-38 ,강원특별자치도 태백시 번영로 369 (황지동),고원관광(합자),11234000
4221000,1998-06-27,03,폐업,강원특별자치도 태백시 황지동 274-80 ,강원특별자치도 태백시 광장로 23  (황지동),태백관광여행사,7023000
4221000,2001-07-04,03,폐업,서울특별시 송파구 잠실동 200-10 ,서울특별시 송파구 석촌호수로12길 48  (잠실동),(합)해피관광렌트카 서울영업소,7354000
4221000,2003-02-12,03,폐업,강원특별자치도 태백시 황지동 220 유진상가7호 ,"강원특별자치도 태백시 고원로 61  (황지동,유진상가7호)",하이밸리여행사(주),35480000
4221000,2003-09-02,03,폐업,강원특별자치도 태백시 황지동 439 강원관광대창업보육센터 204호 ,"강원특별자치도 태백시 대학길 97  (황지동,강원관광대창업보육센터 204호)",(합)태성관광개발여행사,1252000
4221000,1983-06-23,03,폐업,강원특별자치도 태백시 황지동 91-8 ,강원특별자치도 태백시 황지로 4 (황지동),(주)뉴대성관광,19564000
4221000,2013-06-11,03,폐업,강원특별자치도 태백시 황지동 176-26 ,강원특별자치도 태백시 서학로 861 (황지동),(주)지앤비씨티,33894000
4221000,1998-03-12,01,영업중,강원특별자치도 태백시 황지동 264-50 ,강원특별자치도 태백시 황지로 186 (황지동),(합)해피관광렌트카,12726000
